Date, Open, High, Low, Close, Volume 
2012-11-01, 590.500000 , 592.500000 ,585.275024, 591.161987,3505488 
2012-11-12, 588.750000 , 592.250000 ,583.388000, 589.737000,1848096 
2012-12-20, 576.525024 , 577.500000 ,569.500000, 574.900024,4220864 
2012-12-31, 578.750000 , 581.025024 ,575.924988, 579.674988,1725912 
2013-01-04, 587.099976 , 588.737000 ,583.000000, 587.388000,4227004 
2013-02-18, 695.750000 , 696.674988 ,690.750000, 695.025024,1377392 
2013-03-20, 716.200012 , 718.674988 ,706.888000, 716.411987,4497320 
2013-04-10, 700.750000 , 706.950012 ,694.062012, 703.911987,3275808 
2013-04-17, 575.000000 , 577.987000 ,562.500000, 570.963013,7574572 
2013-05-07, 587.500000 , 588.750000 ,581.187988, 587.200012,3491552 
2013-05-30, 583.375000 , 587.161987 ,579.125000, 585.362000,3169316 
2013-06-19, 611.500000 , 612.174988 ,601.825012, 609.588013,2918416 
2013-06-25, 595.000000 , 596.713013 ,586.250000, 593.474976,2895320 
2013-08-19, 747.525024 , 756.737000 ,737.737000, 751.250000,2629664 
2013-08-30, 773.000000 , 780.724976 ,759.375000, 776.463013,6339280 
2013-09-17, 754.250000 , 757.487000 ,747.750000, 755.650024,4013640 
2013-10-23, 830.000000 , 834.700012 ,819.750000, 831.200012,3280792 
2013-10-28, 829.299988 , 833.724976 ,823.286987, 830.862000,1706224 
2013-11-05, 819.174988 , 822.638000 ,808.250000, 816.463013,2660116 
2013-12-11, 841.250000 , 845.424988 ,835.000000, 843.588013,3128480 
2014-01-21, 937.500000 , 942.500000 ,929.588013, 939.588013,6051232 
2014-01-23, 946.025024 , 949.750000 ,940.213013, 948.125000,3953672 
2014-01-30, 925.924988 , 929.174988 ,915.000000, 926.062012,3591816 
2014-02-05, 895.000000 , 897.250000 ,885.687988, 895.312012,2163496 
2014-02-06, 893.000000 , 895.750000 ,885.250000, 890.924988,2874952 
2014-02-10, 894.974976 , 896.500000 ,889.375000, 893.450012,3024712 
2014-02-24, 936.500000 , 938.424988 ,932.500000, 937.474976,2178804 
2014-02-28, 951.875000 , 959.286987 ,940.275024, 956.213013,4919748 
2014-03-31, 821.325012 , 826.237000 ,807.513000, 820.700012,4588464 
2014-04-03, 834.875000 , 837.000000 ,829.763000, 834.536987,2350108 
2014-04-07, 824.500000 , 828.612000 ,814.000000, 823.349976,3548772 
2014-05-14, 812.562012 , 816.250000 ,804.286987, 813.525024,2592344 
2014-05-15, 813.525024 , 823.713013 ,801.312012, 818.112000,4204596 
2014-05-30, 735.000000 , 739.862000 ,720.000000, 734.849976,14017808 
2014-06-06, 750.036987 , 752.500000 ,737.500000, 750.763000,8441212 
2014-06-13, 797.125000 , 801.750000 ,782.763000, 796.750000,5075872 
2014-07-16, 810.000000 , 811.250000 ,800.812012, 807.400024,2294744 
2014-08-21, 889.062012 , 890.849976 ,882.500000, 887.237000,2149440 
2014-09-02, 900.000000 , 906.250000 ,888.888000, 903.437988,1791916 
2014-09-11, 918.500000 , 924.924988 ,907.650024, 921.036987,2506516 
2014-09-30, 936.049988 , 939.075012 ,925.275024, 936.937988,3463684 
2014-11-10, 1043.760010 , 1045.280029 ,1035.000000, 1041.380005,2797084 
2014-11-19, 1045.000000 , 1047.489990 ,1034.939941, 1043.339966,2600560 
2014-11-25, 1073.750000 , 1079.989990 ,1061.500000, 1075.800049,7443288 
2014-12-17, 968.000000 , 977.750000 ,948.150024, 969.250000,8925888 
2014-12-22, 1003.000000 , 1005.049988 ,987.674988, 999.799988,5232552 
2015-01-23, 1100.000000 , 1112.500000 ,1082.550049, 1107.530029,4743164 
2015-01-28, 1075.000000 , 1077.400024 ,1065.150024, 1072.280029,6567178 
2015-01-29, 1072.500000 , 1074.949951 ,1063.800049, 1072.750000,7684712 
2015-02-11, 1140.250000 , 1146.599976 ,1128.119995, 1142.430054,2898486 
2015-03-10, 1099.050049 , 1103.469971 ,1080.099976, 1099.000000,3164958 
2015-03-13, 1112.500000 , 1115.000000 ,1096.199951, 1110.199951,3089842 
2015-03-25, 1111.449951 , 1114.569946 ,1100.380005, 1109.550049,3085484 
2015-04-06, 1086.969971 , 1092.349976 ,1080.199951, 1089.099976,3870876 
2015-04-09, 1105.699951 , 1109.449951 ,1092.199951, 1107.500000,5290774 
2015-04-13, 1119.000000 , 1122.000000 ,1108.050049, 1119.400024,2436168 
2015-04-21, 1074.000000 , 1077.550049 ,1060.050049, 1071.300049,4440824 
2015-04-22, 1075.530029 , 1077.500000 ,1048.969971, 1068.849976,6175492 
2015-04-27, 1000.000000 , 1001.000000 ,974.049988, 992.325012,9911320 
2015-05-13, 975.875000 , 982.450012 ,964.250000, 978.349976,3549542 
2015-05-22, 1022.000000 , 1025.780029 ,1015.049988, 1023.219971,3444412 
2015-07-03, 988.000000 , 993.000000 ,982.000000, 990.299988,1347653 
2015-07-06, 985.000000 , 988.000000 ,975.000000, 983.299988,2152801 
2015-07-16, 987.700012 , 991.500000 ,979.500000, 989.049988,1736469 
2015-07-22, 1105.000000 , 1112.000000 ,1076.650024, 1103.150024,6332830 
2015-07-31, 1078.550049 , 1081.349976 ,1060.000000, 1077.050049,3965506 
2015-08-13, 1147.000000 , 1166.849976 ,1055.550049, 1158.000000,4893980 
2015-08-17, 1150.000000 , 1153.449951 ,1122.500000, 1142.150024,1553718 
2015-08-21, 1140.900024 , 1160.949951 ,1117.500000, 1149.900024,5411071 
2015-08-25, 1100.000000 , 1119.000000 ,1044.500000, 1085.650024,6867539 
2015-09-10, 1084.900024 , 1091.500000 ,1061.000000, 1080.449951,4181502 
2015-09-14, 1099.000000 , 1104.000000 ,1082.650024, 1099.750000,3278538 
2015-09-15, 1099.400024 , 1103.199951 ,1088.150024, 1099.199951,2645943 
2015-10-15, 1099.900024 , 1104.349976 ,1089.099976, 1097.349976,4127833 
2015-10-26, 1154.000000 , 1158.500000 ,1143.150024, 1152.150024,1597971 
2015-11-02, 1130.000000 , 1135.800049 ,1114.099976, 1131.199951,1772494 
2015-11-13, 1103.849976 , 1106.000000 ,1090.000000, 1100.800049,1760434 
2015-12-03, 1061.000000 , 1064.800049 ,1049.050049, 1057.750000,2752363 
2015-12-15, 1073.250000 , 1079.099976 ,1058.800049, 1077.550049,2715904 
2016-01-21, 1135.000000 , 1142.500000 ,1122.000000, 1137.050049,3371500 
2016-01-25, 1140.250000 , 1146.849976 ,1124.550049, 1137.650024,2289631 
2016-02-22, 1131.000000 , 1133.949951 ,1114.050049, 1126.650024,1928505 
2016-03-22, 1191.250000 , 1194.000000 ,1172.000000, 1189.949951,3548975 
2016-04-20, 1238.699951 , 1246.449951 ,1225.800049, 1243.599976,4036424 
2016-05-05, 1195.150024 , 1199.000000 ,1181.099976, 1192.449951,3151334 
2016-05-13, 1206.000000 , 1210.000000 ,1192.150024, 1207.250000,2826032 
2016-05-24, 1191.050049 , 1191.750000 ,1177.599976, 1187.750000,1742530 
2016-06-13, 1176.800049 , 1184.900024 ,1166.000000, 1180.900024,2643361 
2016-06-16, 1189.500000 , 1189.500000 ,1170.099976, 1186.000000,2651282 
2016-06-21, 1211.199951 , 1214.800049 ,1195.650024, 1206.099976,2380862 
2016-06-24, 1188.000000 , 1199.000000 ,1160.000000, 1194.550049,3904174 
2016-07-12, 1180.000000 , 1180.349976 ,1168.000000, 1176.550049,3098684 
2016-07-18, 1077.250000 , 1084.900024 ,1055.150024, 1081.949951,7166412 
